Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
,2019-03-31,2017-12-14,-1.180643,52.903004,,2.16,2019-08-12,,,,"DevelopmentDescription: 24 apartments with associated car park and other works (outline); a foodstore, 4 non-food retail units and a cafe/restaurant with associated car park, alteration to the site access and other works (full), following demolition of Fairham House.; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-12-07,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEMO7RLYJJF00,permissioned,Green Lane - Fairham House,381,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455012.5482000001&xmax=455231.94930000044&ymin=334261.84779999964&ymax=334480.1451999992",,
,,2017-12-14,-1.184101,52.947085,,1.06,2017-12-14,,30,40,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,"Derby Road - Former Hillside Club, Leengate",382,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454908.75129999965&xmax=455071.69820000045&ymin=338971.8995999992&ymax=339168.9032000005",,
,,2017-12-14,-1.177082,52.969639,,6.6,2017-12-14,,65,90,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,Wilkinson Street - Former PZ Cussons,384,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455099.5700000003&xmax=455442.2000000002&ymin=341643.5999999996&ymax=341958.69999999925",,
yes,,2017-12-14,-1.181884,52.953473,,0.52,2019-08-12,,21,21,DevelopmentDescription: Outline application for residential development of 21 dwellings.; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-02-22,outline planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O5KK8FLYIYO00,permissioned,Salisbury Street,390,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455055.9500000002&xmax=455222.5&ymin=339876.2400000002&ymax=339970.55000000075",,
,,2017-12-14,-1.130226,52.957129,,0.6,2017-12-14,,0,0,DevelopmentDescription: Retail built out on whole of the site; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,Carlton Road- Former Co-op,399,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458452.8406999996&xmax=458541.54980000015&ymin=340284.45460000075&ymax=340387.60419999994",,
yes,,2017-12-14,-1.209714,52.959336,,3.74,2017-12-14,,110,110,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-09-27,reserved matters approval,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PRL21RLYKQJ00,permissioned,"Woodyard Lane - Siemens, Lambourne Drive",405,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=452860.12820000015&xmax=453211.75&ymin=340485.94999999925&ymax=340616.83919999935",,
,,2017-12-14,-1.153852,52.943089,,0.19,2017-12-14,,15,15,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,"Site of the Wilford Public House, Gritley Mews",407,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456939.6003999999&xmax=456990.59609999973&ymin=338741.29560000077&ymax=338810.9455999993",,
yes,,2017-12-14,-1.143454,52.957448,,0.76,2021-02-12,,58,58,DevelopmentDescription: 16-22 St Marks St: Demolition of existing buildings and erection of 5 storey student accommodation building with flexible use of part of ground floor to allow for either student accommodation or restaurant/cafe use (Class A3).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2020-05-19,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PZK3FSLYJ9R00,permissioned,31 Curzon Street/185-191 Huntingdon Street,430,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457528.97389999963&xmax=457638.2703999998&ymin=340288.5427000001&ymax=340415.1963999998",,
,,2017-12-14,-1.142435,52.955993,,0.29,2017-12-14,,25,25,DevelopmentDescription: Multiple applications; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OOWVYMLYHIN00,pending decision,"Marco Island, Huntingdon Street",431,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457693.50409999955&xmax=457784.9994999999&ymin=340109.5039000008&ymax=340188.9012000002",,
,,2017-12-14,-1.144332,52.955222,,0.08,2017-12-14,,,,DevelopmentDescription: 15 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,50 Lower Parliament Street,457,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457573.3487&xmax=457616.0499999998&ymin=340069.14550000057&ymax=340101.19629999995",,
,,2017-12-14,-1.15079,52.948834,,1.44,2017-12-14,,50,100,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,,,,not permissioned,"Castle Quarter, Maid Marian Way - College Site,",459,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457018.2290000003&xmax=457159.54569999967&ymin=339372.9946999997&ymax=339572.1944999993",,
,2019-03-31,2017-12-14,-1.184106,53.015454,,1.67,2019-08-12,,,,"DevelopmentDescription: 48 dwellings and associated infrastructure. 2 built 2018-19, 29 BUILT 19-20; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2017-09-28,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKU8T9LYMUN00,permissioned,Bestwood Road - Former Bestwood Day Centre,500,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454784.66000000015&xmax=454921.0999999996&ymin=346766.75&ymax=347089.80000000075",,
,2019-03-31,2017-12-14,-1.173905,52.953007,,1.85,2019-08-12,,0,0,"DevelopmentDescription: Erection of 95no. residential dwellings (C3) and associated infrastructure, site access and landscaping (MH = 17X2BED, 41X3BED, 19X4BED. SR = 11X2BED, 8X3BED); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-03-01,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUB6VHLYH8500,permissioned,Derby Road - Sandfield Centre,503,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455513.55119999964&xmax=455642.80069999956&ymin=339678.49719999917&ymax=339930.1952999998",,
,,2017-12-14,-1.202253,52.964944,,0.95,2017-12-14,,36,36,"DevelopmentDescription: Application for reserved matters 15/02582/PRES4 approval conditions 3 (external materials), 4 (hard surfacing) and 11 (surface water drainage) of outline planning permission reference 11/00785/POUT.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2015-12-04,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVSE6BLYCB000,Not Permissioned,Beechdale Road - South of Former Co-op Dairy,506,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453570.8663999997&xmax=453740.87129999977&ymin=341101.55000000075&ymax=341218.8964000009",,
yes,,2017-12-14,-1.199352,52.966665,,13.79,2019-08-12,,166,166,"DevelopmentDescription: Outline application 09/02049/POUT for the redevelopment of the site with up to 475 residential units, retention of bunker for part storage (B8) of archives and part-combined heat and power facility; provision of public open space and construction of acce; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2015-11-20,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NOFKV7LYCB000,permissioned,Chalfont Drive - Former Government Buildings,507,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453800.7468999997&xmax=454136.71669999976&ymin=340783.20109999925&ymax=341331.2642000001",,
yes,,2017-12-14,-1.169966,52.964036,,0.44,2019-08-12,,22,22,DevelopmentDescription: 22 dwellings and associated works following demolition of existing buildings.; SiteInformation: N/A; NonHousingDevelopment: (figures are 10 and 22 on uniform records for the applications); ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2019-07-08,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PK8VVELYH8J00,permissioned,"1, 2 and Lacetex Ltd, Holland Street",508,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455764.7039999999&xmax=455866.05229999963&ymin=340983.0538999997&ymax=341061.20150000043",,
,,2017-12-14,-1.130596,52.943522,,8.17,2017-12-14,,350,420,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,Waterside - Freeth Street,516,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458378.5203&xmax=458730.55960000027&ymin=338772.68659999967&ymax=339108.1905000005",,
,2019-03-31,2017-12-14,-1.142637,52.945995,,0.14,2017-12-14,,,,DevelopmentDescription: 15/00462/PFUL3 New student development comprising 222 (was 215 self-contained units with ancillary accommodation at ground floor and associated works. Within site 522; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-02-06,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P06PCELY01B00,permissioned,"Caliba Queens House, Queens Road",518,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457667.59810000006&xmax=457708.6007000003&ymin=339071.00129999965&ymax=339119.74719999917",,
yes,,2017-12-14,-1.150566,52.946255,,1.43,2017-12-14,,62,62,DevelopmentDescription: 62 new apartments and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2016-07-28,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRDHTLYCB000,permissioned,"Traffic Street Site, Traffic Street",521,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457097.2460000003&xmax=457343.03949999996&ymin=338975.57850000076&ymax=339098.45329999924",,
,2019-03-31,2017-12-14,-1.147034,52.947602,,0.76,2017-12-14,,0,0,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-08-30,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P8JVEALYGSO00,permissioned,Canal Quarter - Station Street/Carrington Street,526,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457380.9000000004&xmax=457516.2999999998&ymin=339248.8499999996&ymax=339339.68649999984",,
,2019-03-31,2017-12-14,-1.147525,52.948417,,0.07,2019-08-12,,,,DevelopmentDescription: Change of use of upper floors to 16 self contained apartments complete 20/21; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,2018-08-07,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9HJYQLYJCY00,permissioned,"Byson Court, 109 Carrington Street, NG8 3BT",528,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457363.8501000004&xmax=457389.45100000035&ymin=339340.80399999954&ymax=339378.37329999916",,
yes,,2017-12-14,-1.158864,52.955945,,0.13,2017-12-14,,134,134,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-05-10,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTFFENLYMKI00,permissioned,"Car Sales, 79-85 Talbot Street (Also known as the Christian Centre)",531,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456563.8976999996&xmax=456609.5011999998&ymin=340165.7977000009&ymax=340201.5976",,
yes,,2017-12-14,-1.141447,52.949959,,0.13,2019-08-12,,85,85,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-09-07,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVG2OMLYK6O00,permissioned,Pemberton Street,536,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457775.6002000002&xmax=457814.7971999999&ymin=339517.7533&ymax=339586.1537999995",,
yes,,2017-12-14,-1.14055,52.950391,,0.19,2017-12-14,,85,85,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2019-03-26,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8GASBLYM4400,permissioned,"Petrol Filling Station, London Road",537,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457801.7039999999&xmax=457855.7008999996&ymin=339552.8532999996&ymax=339611.59640000015",,
yes,,2017-12-14,-1.137381,52.954403,,1.24,2017-12-14,,217,217,"DevelopmentDescription: Multiple applications. 17/02557/PFUL3 permission for 44 on Avenues D & E, and permission 20/00890/PVAR3 for 173 dwellings at 149-169 Lower Parliament St; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,2020-08-17,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q9SKH1LY0KU00,permissioned,"Creative Quarter - Sneinton Market, Southwell Road",541,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457914&xmax=458074.25&ymin=339884.2100000009&ymax=340026.3499999996",,
yes,,2017-12-14,-1.142229,52.956259,,0.1,2019-08-12,,42,42,"DevelopmentDescription: Outline planning application for the erection of up to 42 flats or 91 student beds within a seven storey development of up to a total of c. 585.3 square metres, including details of access, layout and scale.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2019-02-27,outline planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P5XI4GLYH4900,permissioned,Between Cowan Street and Beck Street,543,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457699.0530000003&xmax=457728.6031999998&ymin=340201.9974000007&ymax=340250.5035999995",,
,,2017-12-14,-1.139119,52.943751,,0.95,2017-12-14,,100,150,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,"Waterside - Iremonger Road, London Road",545,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457925.5036000004&xmax=457967.2977999998&ymin=338506.60280000046&ymax=338830.3001000006",,
,2019-03-31,2017-12-14,-1.161218,52.947258,,0.1,2019-08-12,,,,DevelopmentDescription: Erection of purpose built student accommodation scheme and associated works; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-01-19,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OOSRCZLYHB600,permissioned,"Land north of canal and Sainsbury's, Castle Boulevard",594,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456296.2960000001&xmax=456457.80030000024&ymin=339183.0491000004&ymax=339207.7020999994",,
yes,,2017-12-14,-1.130637,52.980487,,0.06,2017-12-14,,23,23,DevelopmentDescription: 23 dwellings 15/00014/PFUL3 -16 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2017-11-27,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMT1G4LYJYL00,permissioned,"Prestige Windows, 602 The Wells Road",596,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458444.49729999993&xmax=458478.04640000034&ymin=342891.9773999993&ymax=342922.49870000035",,
,2019-03-31,2017-12-14,-1.168448,53.005507,,0.21,2019-08-12,,0,0,DevelopmentDescription: Demolition of the existing buildings and the construction of a mixed use development of retail (Class A1) and homes.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,2018-03-20,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZRKDBLYGQG00,permissioned,Land between Knights Close and Harvest Close,610,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455876.35030000005&xmax=455931.7489&ymin=345675.3507000003&ymax=345745.85050000064",,
,2019-03-31,2017-12-14,-1.163718,52.978627,,1.39,2019-08-12,,,,DevelopmentDescription: 20 new dwellings and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2016-08-03,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NXC0XFLYCB000,permissioned,"Car dealers/industrial area, Site Of 350 To 358 Haydn Road Nottingham NG5 1EA",645,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456156.7977&xmax=456306.7673000004&ymin=342647.3774999995&ymax=342820.6479000002",,
