Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-11-01,-1.756113,53.798223,,0.51,2018-11-01,166,0,0,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8102567FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8507048MAJ&activeTab=summary|https://planning.bradford.gov.uk,permissioned,"Hamm Strasse/ Grammar School Street, City Centre",CC/003,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416116.5938,433524.3505,416213.5625,433638.8123,27700",,,
,,2017-11-01,-1.763471,53.793795,,1.05,2018-11-01,220,220,220,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,mixed ownership,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7606437FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=L5YRPCDH0I700&activeTab=summary|https://planning.bradford.gov,not permissioned,"Beehive Mills, Thornton Road, City Centre",CC/007,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415602.75,433012.7,415758.0,433139.0499,27700",,,
yes,,2017-11-01,-1.754892,53.797339,,0.03,2018-11-01,7,0,0,Site has planning permission for change of use 7 apartments,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2016-06-05,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=O8PRDGDH0IM00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6KEBADH8C000&activeTab=summary|https://planning.bradford.,permissioned,"Pipers House 28 Manor Row, City Centre",CC/014,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416228.0,433464.0498,416256.3,433488.9998,27700",,,
yes,,2017-11-01,-1.748243,53.796354,,0.3,2018-11-01,30,30,75,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0203523ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8102645COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Stott Hill West/Bolton Road Junction, City Centre",CC/018,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416650.7,433317.25,416711.05,433436.6,27700",,,
yes,,2017-11-01,-1.751389,53.800327,,0.95,2018-11-01,200,200,200,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KZ61Y4DH02F00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9403912OUT&activeTab=summary|https://planning.bradford.gov,not permissioned,"Midland Mills, Cape Street, City Centre",CC/022,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416395.95,433759.0,416542.5,433870.0,27700",,,
,,2017-11-01,-1.765608,53.795081,,1.66,2018-11-01,400,400,400,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,mixed ownership,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7908787OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9602591FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Thornton Road Car Park/ Water Lane, City Centre",CC/024,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415435.6158,433154.47,415647.03,433308.35,27700",,,
yes,,2017-11-01,-1.763401,53.795445,,0.27,2018-11-01,27,27,67,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8100367COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OHYMA0DHLOC00&activeTab=summary|https://planning.bradford.gov,not permissioned,"179 Sunbridge Road, City Centre",CC/025,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415645.55,433229.0,415720.75,433299.2,27700",,,
,,2017-11-01,-1.758784,53.794677,,0.27,2018-11-01,75,75,75,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9303399COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9701284COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"122 Sunbridge Road, City Centre",CC/026,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415964.05,433141.6,416010.8,433213.0,27700",,,
,,2017-11-01,-1.761872,53.796409,,0.62,2018-11-01,400,400,400,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8041747COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9204009REG&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Goitside Urban Village, off Grattan Road, City Centre",CC/037,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415717.8,433309.4,415848.9,433438.3,27700",,,
,,2017-11-01,-1.758375,53.797413,,0.55,2018-11-01,200,200,200,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I6AR69DHK7000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9300284LBC&activeTab=summary|https://planning.bradford.gov,not permissioned,"Market Urban Village, Rawson Road, City Centre",CC/038,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415944.8,433430.88,416086.3,433544.55,27700",,,
,,2017-11-01,-1.764568,53.795448,,0.4,2018-11-01,100,100,100,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,mixed ownership,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LW50W4DH0B200&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MGPTASDHLT000&activeTab=summary|https://planning.bradford.,not permissioned,"Thornton Road north, City Centre",CC/042,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415536.6,433212.6,415668.4,433306.1,27700",,,
,,2017-11-01,-1.750372,53.798864,,3.16,2018-11-01,600,600,600,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,mixed ownership,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HHNU4MDHH1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IZCQ7WDH6A000&activeTab=summary|https://planning.bradford.,not permissioned,"North Brook Stree/Leeming Street, City Centre",CC/045,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416434.9082,433538.45,416642.8,433753.15,27700",,,
,,2017-11-01,-1.758616,53.795438,,0.12,2018-11-01,80,80,80,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0102765FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HM4THIDHH1000&activeTab=summary|https://planning.bradford.gov,not permissioned,"Westgate/Grattan Road, City Centre",CC/047,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415977.55,433232.0,416019.7,433289.0,27700",,,
,,2017-11-01,-1.754937,53.796352,,0.07,2018-11-01,7,7,18,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9300695FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9902844FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"31-35 Piccadilly, City Centre",CC/050,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416222.2,433342.7,416259.75,433388.75,27700",,,
yes,,2017-11-01,-1.76234,53.794324,,0.3,2018-11-01,88,0,0,"Part of the site has planning permission for 88, studio and duplex apartments.",City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2015-12-04,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J4HXKZDH6A000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7403617FUL&activeTab=summary|https://planning.bradford.gov,permissioned,"Yorkshire Stone Yard and Mill, Thornton Road/Lower Grattan Road, City Centre",CC/073,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415702.5,433095.2,415802.1,433181.3,27700",,,
,,2017-11-01,-1.756906,53.793508,,0.39,2018-11-01,50,50,50,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0102841FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0301211VOC&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Sunwin House, Godwin Street/Sunbridge Road, City Centre",CC/074,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416075.64,433013.8,416146.4,433087.4,27700",,,
,,2017-11-01,-1.744476,53.795918,,0.31,2018-11-01,50,50,50,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201997FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202001LBC&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Burnett Street Car Park, City Centre",CC/076,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416894.6,433263.3,416957.8163,433375.15,27700",,,
yes,,2017-11-01,-1.745227,53.793658,,0.14,2018-11-01,40,40,40,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0003428COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202092FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"East Parade Car Park, City Centre",CC/078,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416854.1266,433033.05,416908.87,433107.36,27700",,,
,,2017-11-01,-1.758358,53.790452,,0.42,2018-11-01,50,50,50,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201423ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8094925REM&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Wilton Car park and buildings, City Centre",CC/081,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415951.6,432670.05,416070.2,432740.9,27700",,,
,,2017-11-01,-1.755096,53.795838,,0.03,2018-11-01,9,0,0,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8308036FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8604329EXT&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"43 Darley Street, City Centre",CC/086,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416217.8,433295.7,416240.6,433321.8,27700",,,
yes,,2017-11-01,-1.761528,53.793978,,0.04,2018-11-01,16,0,0,Site has planning approval for conversion to 16 flats,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2017-10-16,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7403617FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NOA0UDDHLT000&activeTab=summary|https://planning.bradford.gov,permissioned,"126-128 Thornton Road, City Centre",CC/092,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415793.45,433085.6,415820.35,433114.6,27700",,,
yes,,2017-11-01,-1.761357,53.794594,,0.04,2018-11-01,40,0,0,Site with prior notification approval for change of use to 40 apartments under permitted development rights,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,other,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7501183FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7505107COU&activeTab=summary|https://planning.bradford.gov.uk,permissioned,"153 Sunbridge Road, City Centre",CC/093,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415804.75,433151.3781,415829.95,433184.8,27700",,,
yes,,2018-11-01,-1.757916,53.796352,,1.3,2018-11-01,1000,1000,1000,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201589ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101163FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Oastler Centre, John Street",CC/094,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415962.1,433292.2,416124.8,433444.8,27700",,,
,,2017-11-01,-1.748557,53.798913,,0.49,2018-11-01,100,100,100,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0301342ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8040894COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Land west of Wharf Street, City Centre",CC/095,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416617.6,433573.7029,416695.3147,433734.68,27700",,,
yes,,2017-11-01,-1.747511,53.797119,,0.7,2018-11-01,90,0,0,Permission for 90 units on part of the site,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,2017-10-13,outline planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7504226OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8801610COU&activeTab=summary|https://planning.bradford.gov.uk,permissioned,"Cathedral Quarter, City Centre",CC/096,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416687.2228,433367.2,416770.95,433516.0141,27700",,,
,,2017-11-01,-1.746861,53.795282,,0.08,2018-11-01,20,20,20,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7904672COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=N3GLXBDHLT000&activeTab=summary|https://planning.bradford.gov,not permissioned,"Church Bank/Peckover Street, City Centre",CC/097,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416748.6,433232.95,416792.6,433266.5,27700",,,
yes,,2017-11-01,-1.747952,53.794687,,0.29,2018-11-01,110,0,0,Listed building consent order,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IG0PUQDHT8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0203872FUL&activeTab=summary|https://planning.bradford.gov,permissioned,"Church Bank/Vicar Lane, City Centre",CC/098,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416662.0412,433146.6702,416740.55,433214.75,27700",,,
,,2017-11-01,-1.744817,53.793457,,0.14,2018-11-01,20,20,20,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HN5N68DHT3000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0002053FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,"Gatehaus 2, City Centre",CC/099,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416887.4266,433021.71,416927.3686,433076.8036,27700",,,
,,2017-11-01,-1.754364,53.79735,,0.1,2018-11-01,100,100,100,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9400172REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7808115COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Stone Street Car Park, City Centre",CC/100,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416246.75,433449.75,416303.9377,433507.6739,27700",,,
yes,,2018-11-01,-1.745307,53.794575,,0.02,2018-11-01,6,0,0,Building with converison permission to 6 apartments,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,2017-08-03,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8905925LBC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I7A2YCDHV6000&activeTab=summary|https://planning.bradford.gov,permissioned,"38-42 Peckover Street, Little Germany",CC/102,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416863.2,433159.0,416886.536,433182.4509,27700",,,
yes,,2017-11-01,-1.752397,53.787791,,0.05,2018-11-01,14,0,0,Site with full permission for mixed use to include 14 apartments granted on appeal,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2015-05-01,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7903901FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9300842FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,"Adelaide Street/Duncan Street, Little Horton",CC/104,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416397.3,432398.4,416424.8,432429.95,27700",,,
